cluster,records,share,dominant_category,dominant_category_share,release,left,right,episodes,largest_episode_share
0,80,0.04895960832313342,missed_platform_risk,0.5625,16,46,18,18,0.1625
1,62,0.037943696450428395,missed_platform_risk,0.8387096774193549,32,20,10,18,0.11290322580645161
2,197,0.12056303549571604,missed_platform_risk,0.5583756345177665,55,43,99,17,0.16751269035532995
3,141,0.08629130966952264,missed_platform_risk,0.475177304964539,39,68,34,20,0.0851063829787234
4,41,0.025091799265605876,missed_platform_risk,0.6341463414634146,5,31,5,13,0.17073170731707318
5,182,0.11138310893512852,wrong_target,0.3076923076923077,82,8,92,18,0.11538461538461539
6,95,0.05813953488372093,missed_platform_risk,0.8210526315789474,4,75,16,17,0.14736842105263157
7,173,0.105875152998776,missed_platform_risk,0.5838150289017341,22,119,32,20,0.10982658959537572
8,82,0.05018359853121175,missed_platform_risk,0.7073170731707317,15,47,20,18,0.12195121951219512
9,287,0.17564259485924114,missed_platform_risk,0.42857142857142855,94,130,63,18,0.11846689895470383
10,199,0.12178702570379436,missed_platform_risk,0.5728643216080402,18,139,42,20,0.12562814070351758
11,95,0.05813953488372093,missed_platform_risk,0.5052631578947369,14,18,63,18,0.10526315789473684
