scenario,step,action,x,y,vx,vy,support_floor,deepest_floor,events,terminal_reason,collision_diagnostic
M02_acceleration,1,RIGHT,237.1,92.5,56.0,0.0,0,0,[],,null
M02_acceleration,2,RIGHT,248.3,92.5,112.0,0.0,0,0,[],,null
M02_acceleration,3,RIGHT,265.1,92.5,168.0,0.0,0,0,[],,null
M02_acceleration,4,RIGHT,287.5,92.5,224.0,0.0,0,0,[],,null
M02_acceleration,5,RIGHT,310.5,92.5,230.0,0.0,0,0,[],,null
M02_acceleration,6,RIGHT,333.5,92.5,230.0,0.0,0,0,[],,null
M02_acceleration,7,RIGHT,356.5,92.5,230.0,0.0,0,0,[],,null
M02_acceleration,8,RIGHT,379.5,92.18,230.0,-12.8,,0,"[""support_departed""]",,"{""current_bottom"":78.68,""current_platform_top"":79.0,""decision"":""pass_through_no_horizontal_overlap"",""impact_player_bbox_x"":[363.66666666666646,387.66666666666646],""one_way_eligible"":true,""platform_bbox_x"":[111.5,351.5],""platform_floor"":0,""previous_bottom"":78.84,""previous_platform_top"":79.0,""reason"":""swept_top_crossing_outside_platform"",""relative_velocity_y"":-12.8,""time_of_impact"":0.0}"
M02_acceleration,9,RIGHT,402.5,90.1,230.0,-32.0,,0,[],,"{""current_bottom"":77.08000000000001,""current_platform_top"":79.0,""decision"":""pass_through_no_horizontal_overlap"",""impact_player_bbox_x"":[382.83333333333303,406.83333333333303],""one_way_eligible"":true,""platform_bbox_x"":[111.5,351.5],""platform_floor"":0,""previous_bottom"":77.50666666666667,""previous_platform_top"":79.0,""reason"":""swept_top_crossing_outside_platform"",""relative_velocity_y"":-28.799999999999997,""time_of_impact"":0.0}"
M02_acceleration,10,RIGHT,411.0,86.1,0.0,-51.2,,0,[],,null
M02_acceleration,11,RELEASE_ALL,411.0,80.18,0.0,-70.4,,0,[],,null
M02_acceleration,12,RELEASE_ALL,411.0,72.34,0.0,-89.6,,0,[],,null
M02_acceleration,13,RELEASE_ALL,411.0,62.58,0.0,-108.8,,0,[],,null
M02_acceleration,14,RELEASE_ALL,411.0,50.9,0.0,-128.0,,0,[],,null
M02_acceleration,15,RELEASE_ALL,411.0,37.3,0.0,-147.2,,0,[],,"{""current_bottom"":28.54666666666666,""current_platform_top"":31.0,""decision"":""pass_through_no_horizontal_overlap"",""impact_player_bbox_x"":[399.0,423.0],""one_way_eligible"":true,""platform_bbox_x"":[135.5,375.5],""platform_floor"":1,""previous_bottom"":30.839999999999996,""previous_platform_top"":31.0,""reason"":""swept_top_crossing_outside_platform"",""relative_velocity_y"":-140.8,""time_of_impact"":0.0}"
