scenario,step,action,x,y,vx,vy,support_floor,deepest_floor,events,terminal_reason,collision_diagnostic
M05_edge,1,RIGHT,237.1,92.5,56.0,0.0,0,0,[],,null
M05_edge,2,RIGHT,248.3,92.5,112.0,0.0,0,0,[],,null
M05_edge,3,RIGHT,265.1,92.5,168.0,0.0,0,0,[],,null
M05_edge,4,RIGHT,287.5,92.5,224.0,0.0,0,0,[],,null
M05_edge,5,RIGHT,310.5,92.5,230.0,0.0,0,0,[],,null
M05_edge,6,RIGHT,333.5,92.5,230.0,0.0,0,0,[],,null
M05_edge,7,RIGHT,356.5,92.34,230.0,-9.6,,0,"[""support_departed""]",,"{""current_bottom"":78.84,""current_platform_top"":79.0,""decision"":""pass_through_no_horizontal_overlap"",""impact_player_bbox_x"":[340.6666666666666,364.6666666666666],""one_way_eligible"":true,""platform_bbox_x"":[131.5,331.5],""platform_floor"":0,""previous_bottom"":78.94666666666667,""previous_platform_top"":79.0,""reason"":""swept_top_crossing_outside_platform"",""relative_velocity_y"":-9.600000000000001,""time_of_impact"":0.0}"
M05_edge,8,RIGHT,379.5,90.58,230.0,-28.8,,0,[],,"{""current_bottom"":77.08000000000001,""current_platform_top"":79.0,""decision"":""pass_through_no_horizontal_overlap"",""impact_player_bbox_x"":[363.66666666666646,387.66666666666646],""one_way_eligible"":true,""platform_bbox_x"":[131.5,331.5],""platform_floor"":0,""previous_bottom"":77.50666666666667,""previous_platform_top"":79.0,""reason"":""swept_top_crossing_outside_platform"",""relative_velocity_y"":-28.799999999999997,""time_of_impact"":0.0}"
M05_edge,9,RIGHT,402.5,86.9,230.0,-48.0,,0,[],,null
M05_edge,10,RIGHT,411.0,81.3,0.0,-67.2,,0,[],,null
M05_edge,11,RIGHT,411.0,73.78,0.0,-86.4,,0,[],,null
M05_edge,12,RIGHT,411.0,64.34,0.0,-105.6,,0,[],,null
M05_edge,13,RIGHT,411.0,52.98,0.0,-124.8,,0,[],,null
M05_edge,14,RIGHT,411.0,39.7,0.0,-144.0,,0,[],,"{""current_bottom"":28.54666666666666,""current_platform_top"":31.0,""decision"":""pass_through_no_horizontal_overlap"",""impact_player_bbox_x"":[399.0,423.0],""one_way_eligible"":true,""platform_bbox_x"":[107.5,307.5],""platform_floor"":1,""previous_bottom"":30.839999999999996,""previous_platform_top"":31.0,""reason"":""swept_top_crossing_outside_platform"",""relative_velocity_y"":-140.8,""time_of_impact"":0.0}"
M05_edge,15,RIGHT,411.0,24.5,0.0,-163.2,,0,[],,null
M05_edge,16,RIGHT,411.0,7.38,0.0,-182.4,,0,[],,null
M05_edge,17,RIGHT,411.0,-11.66,0.0,-201.6,,0,[],bottom,"{""current_bottom"":-18.59999999999998,""current_platform_top"":-17.0,""decision"":""pass_through_no_horizontal_overlap"",""impact_player_bbox_x"":[399.0,423.0],""one_way_eligible"":true,""platform_bbox_x"":[83.5,283.5],""platform_floor"":2,""previous_bottom"":-15.399999999999984,""previous_platform_top"":-17.0,""reason"":""swept_top_crossing_outside_platform"",""relative_velocity_y"":-195.19999999999982,""time_of_impact"":0.5000000000000056}"
