scenario,step,action,x,y,vx,vy,support_floor,deepest_floor,events,terminal_reason,collision_diagnostic
M06_landing,1,RELEASE_ALL,231.5,100.5,0.0,80.0,0,0,"[""landed""]",,"{""collision_normal"":[0.0,1.0],""current_bottom"":81.46666666666667,""decision"":""landed"",""impact_x"":231.5,""one_way_eligible"":true,""platform_floor"":0,""platform_kind"":""normal"",""previous_bottom"":84.68,""reason"":""swept_top_surface_crossing"",""relative_velocity_y"":-275.99999999999994,""time_of_impact"":0.0762463343108561}"
M06_landing,2,RELEASE_ALL,231.5,108.5,0.0,80.0,0,0,[],,null
M06_landing,3,RELEASE_ALL,231.5,116.5,0.0,80.0,0,0,[],,null
M06_landing,4,RELEASE_ALL,231.5,124.5,0.0,80.0,0,0,[],,null
M06_landing,5,RELEASE_ALL,231.5,132.5,0.0,80.0,0,0,[],,null
M06_landing,6,RELEASE_ALL,231.5,140.5,0.0,80.0,0,0,[],,null
M06_landing,7,RELEASE_ALL,231.5,148.5,0.0,80.0,0,0,[],,null
M06_landing,8,RELEASE_ALL,231.5,156.5,0.0,80.0,0,0,[],,null
M06_landing,9,RELEASE_ALL,231.5,164.5,0.0,80.0,0,0,[],,null
M06_landing,10,RELEASE_ALL,231.5,172.5,0.0,80.0,0,0,[],,null
M06_landing,11,RELEASE_ALL,231.5,180.5,0.0,80.0,0,0,[],,null
M06_landing,12,RELEASE_ALL,231.5,188.5,0.0,80.0,0,0,[],,null
M06_landing,13,RELEASE_ALL,231.5,196.5,0.0,80.0,0,0,[],,null
M06_landing,14,RELEASE_ALL,231.5,204.5,0.0,80.0,0,0,[],,null
M06_landing,15,RELEASE_ALL,231.5,212.5,0.0,80.0,0,0,[],,null
M06_landing,16,RELEASE_ALL,231.5,220.5,0.0,80.0,0,0,[],,null
M06_landing,17,RELEASE_ALL,231.5,228.5,0.0,80.0,0,0,[],,null
M06_landing,18,RELEASE_ALL,231.5,236.5,0.0,80.0,0,0,[],,null
M06_landing,19,RELEASE_ALL,231.5,244.5,0.0,80.0,0,0,[],,null
M06_landing,20,RELEASE_ALL,231.5,252.5,0.0,80.0,0,0,[],,null
