scenario,step,action,x,y,vx,vy,support_floor,deepest_floor,events,terminal_reason,collision_diagnostic
M06_landing,1,RELEASE_ALL,231.5,102.1,0.0,96.0,0,0,"[""landed""]",,"{""collision_normal"":[0.0,1.0],""current_bottom"":84.68,""decision"":""landed"",""impact_x"":231.5,""one_way_eligible"":true,""platform_floor"":0,""platform_kind"":""normal"",""previous_bottom"":87.84,""reason"":""legacy_end_position_top_crossing"",""relative_velocity_y"":-288.79999999999995,""time_of_impact"":0.8487394957983252}"
M06_landing,2,RELEASE_ALL,231.5,111.7,0.0,96.0,0,0,[],,null
M06_landing,3,RELEASE_ALL,231.5,121.3,0.0,96.0,0,0,[],,null
M06_landing,4,RELEASE_ALL,231.5,130.9,0.0,96.0,0,0,[],,null
M06_landing,5,RELEASE_ALL,231.5,140.5,0.0,96.0,0,0,[],,null
M06_landing,6,RELEASE_ALL,231.5,150.1,0.0,96.0,0,0,[],,null
M06_landing,7,RELEASE_ALL,231.5,159.7,0.0,96.0,0,0,[],,null
M06_landing,8,RELEASE_ALL,231.5,169.3,0.0,96.0,0,0,[],,null
M06_landing,9,RELEASE_ALL,231.5,178.9,0.0,96.0,0,0,[],,null
M06_landing,10,RELEASE_ALL,231.5,188.5,0.0,96.0,0,0,[],,null
M06_landing,11,RELEASE_ALL,231.5,198.1,0.0,96.0,0,0,[],,null
M06_landing,12,RELEASE_ALL,231.5,207.7,0.0,96.0,0,0,[],,null
M06_landing,13,RELEASE_ALL,231.5,217.3,0.0,96.0,0,0,[],,null
M06_landing,14,RELEASE_ALL,231.5,226.9,0.0,96.0,0,0,[],,null
M06_landing,15,RELEASE_ALL,231.5,236.5,0.0,96.0,0,0,[],,null
M06_landing,16,RELEASE_ALL,231.5,246.1,0.0,96.0,0,0,[],,null
M06_landing,17,RELEASE_ALL,231.5,255.7,0.0,96.0,0,0,[],,null
M06_landing,18,RELEASE_ALL,231.5,265.3,0.0,96.0,0,0,[],,null
M06_landing,19,RELEASE_ALL,231.5,274.9,0.0,96.0,0,0,[],,null
M06_landing,20,RELEASE_ALL,231.5,284.5,0.0,96.0,0,0,[],,null
