seed,episode_step,trigger_kind,headroom,supported_floor,airborne,cached_first_action,selected_first_action,same_as_v6_cached_action,different_suffix_same_first_action,selected_terminal_reason,selected_terminal_step,selected_score,nonterminal_h12_b24,release_terminal_h12_b24,release_step_h12_b24,release_score_h12_b24,left_terminal_h12_b24,left_step_h12_b24,left_score_h12_b24,right_terminal_h12_b24,right_step_h12_b24,right_score_h12_b24,different_first_action_dies_later,nonterminal_h24_b24,nonterminal_h12_b96,nonterminal_h24_b96,selected_first_action_executed,snapshot_restored
16002,39,terminal_risk_entry,112.20000000000076,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,12,-999791.2,True,top,12,-999791.2,top,12,-999791.2,,,10601.402696904312,,,,,True,True
16002,40,terminal_risk_replan,102.60000000000079,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,11,-999791.1,True,top,11,-999791.1,,,10448.900000000005,,,10547.336830237646,,,,,True,True
16002,41,terminal_risk_replan,93.00000000000082,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,10,-999791.0,True,top,10,-999791.0,,,10400.900000000003,,,10517.252100000005,,,,,True,True
16002,42,terminal_risk_replan,83.40000000000089,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,9,-999790.9,True,top,9,-999790.9,,,10352.900000000003,,,10469.252100000005,,,,,True,True
16002,43,terminal_risk_replan,73.80000000000086,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,8,-999790.8,True,top,8,-999790.8,,,10304.900000000003,,,10421.252100000003,,,,,True,True
16002,44,terminal_risk_replan,64.20000000000095,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,7,-999790.7,True,top,7,-999790.7,top,7,-999790.7,,,10373.252100000003,,,,,True,True
16002,45,terminal_risk_replan,54.60000000000093,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,6,-999790.6,True,top,6,-999790.6,top,6,-999790.6,,,10325.252100000003,,,,,True,True
16002,46,terminal_risk_replan,45.00000000000085,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,5,-999790.5,True,top,5,-999790.5,top,5,-999790.5,,,20441.781900000005,,,,,True,True
16002,47,terminal_risk_replan,35.400000000000716,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,4,-999790.4,False,top,4,-999790.4,top,4,-999790.4,top,4,-999790.4,,False,False,,True,True
16002,48,terminal_risk_replan,25.80000000000058,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,3,-999790.3,False,top,3,-999790.3,top,3,-999790.3,top,3,-999790.3,,False,False,,True,True
16002,49,terminal_risk_replan,16.200000000000443,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,2,-999790.2,False,top,2,-999790.2,top,2,-999790.2,top,2,-999790.2,,False,False,,True,True
16002,50,terminal_risk_replan,6.600000000000307,5,False,RELEASE_ALL,RELEASE_ALL,True,False,top,1,-999790.1,False,top,1,-999790.1,top,1,-999790.1,top,1,-999790.1,,False,False,False,True,True
16030,51,terminal_risk_entry,93.00000000000102,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,10,-999791.0,True,top,10,-999791.0,top,10,-999791.0,,,20735.691106791674,,,,,True,True
16030,52,terminal_risk_replan,83.40000000000106,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,9,-999790.9,True,top,9,-999790.9,top,9,-999790.9,,,20687.691106791674,,,,,True,True
16030,53,terminal_risk_replan,73.80000000000109,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,8,-999790.8,True,top,8,-999790.8,top,8,-999790.8,,,20639.691106791674,,,,,True,True
16030,54,terminal_risk_replan,64.20000000000113,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,7,-999790.7,True,top,7,-999790.7,top,7,-999790.7,,,20636.691106791674,,,,,True,True
16030,55,terminal_risk_replan,54.60000000000116,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,6,-999790.6,True,top,6,-999790.6,top,6,-999790.6,,,20588.691106791674,,,,,True,True
16030,56,terminal_risk_replan,45.00000000000108,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,5,-999790.5,True,top,5,-999790.5,top,5,-999790.5,,,20540.691106791674,,,,,True,True
16030,57,terminal_risk_replan,35.400000000000944,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,4,-999790.4,False,top,4,-999790.4,top,4,-999790.4,top,4,-999790.4,,False,False,,True,True
16030,58,terminal_risk_replan,25.800000000000807,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,3,-999790.3,False,top,3,-999790.3,top,3,-999790.3,top,3,-999790.3,,False,False,,True,True
16030,59,terminal_risk_replan,16.20000000000067,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,2,-999790.2,False,top,2,-999790.2,top,2,-999790.2,top,2,-999790.2,,False,False,,True,True
16030,60,terminal_risk_replan,6.600000000000534,7,False,RELEASE_ALL,RELEASE_ALL,True,False,top,1,-999790.1,False,top,1,-999790.1,top,1,-999790.1,top,1,-999790.1,,False,False,False,True,True
