scope,category,representation,rows,neighbor_disagreement,conditional_entropy_bits,knn_action_accuracy,mean_neighbor_distance,memory_dimensions,coverage_sufficient
overall,all,observation_only,753,0.5620185922974769,1.0402238451845558,0.4807436918990704,1.0182956975187112,0,True
overall,all,causal_action_history,753,0.42762284196547146,0.7805837123041306,0.6533864541832669,0.6128558306680647,14,True
overall,all,causal_target_context,753,0.5354581673306773,0.9887158925698096,0.5245683930942895,0.6652716128418098,26,True
overall,all,causal_phase_and_recovery,753,0.5280212483399734,1.0124843147660465,0.5444887118193891,0.805109235942497,49,True
overall,all,causal_support_context,753,0.4974767596281541,0.9456818577886249,0.5697211155378487,0.6792254559628568,29,True
overall,all,causal_full_memory,753,0.45391766268260286,0.8529358527815013,0.6108897742363878,0.8156888986369262,121,True
overall,all,post_decision_leakage_ceiling,753,0.11420982735723771,0.25997857158548565,0.9282868525896414,0.8352154600078783,121,True
branch,aligned,observation_only,206,0.5737864077669904,1.0414473191351077,0.5194174757281553,,,True
branch,aligned,causal_full_memory,206,0.46504854368932047,0.8948466835029729,0.6747572815533981,,,True
branch,brake,observation_only,40,0.6300000000000001,1.1626649071601982,0.5,,,True
branch,brake,causal_full_memory,40,0.5700000000000001,0.965940017320466,0.5,,,True
branch,conveyor,observation_only,25,0.5760000000000001,1.2375370947142847,0.52,,,True
branch,conveyor,causal_full_memory,25,0.45600000000000007,0.8311123757195047,0.52,,,True
branch,flip,observation_only,97,0.5628865979381443,0.9947078590829831,0.41237113402061853,,,True
branch,flip,causal_full_memory,97,0.47010309278350515,0.8543029008471725,0.6082474226804123,,,True
branch,launch,observation_only,13,0.676923076923077,1.1273320873220616,0.23076923076923078,,,True
branch,launch,causal_full_memory,13,0.6307692307692307,1.2711009791366217,0.38461538461538464,,,True
branch,move,observation_only,84,0.6047619047619047,1.0441131797529097,0.39285714285714285,,,True
branch,move,causal_full_memory,84,0.40238095238095234,0.7947366123527266,0.6547619047619048,,,True
branch,recovery,observation_only,67,0.5970149253731343,1.1058041767767126,0.4626865671641791,,,True
branch,recovery,causal_full_memory,67,0.5074626865671642,0.9024542176921427,0.5671641791044776,,,True
branch,special_escape,observation_only,46,0.6521739130434783,1.1031583949215231,0.2826086956521739,,,True
branch,special_escape,causal_full_memory,46,0.5000000000000001,1.0158799865687105,0.5869565217391305,,,True
branch,spike,observation_only,38,0.6526315789473683,1.1327043948055586,0.34210526315789475,,,True
branch,spike,causal_full_memory,38,0.48421052631578954,1.0185797927235387,0.6578947368421053,,,True
branch,spring,observation_only,56,0.6178571428571429,1.1385831627416592,0.42857142857142855,,,True
branch,spring,causal_full_memory,56,0.5071428571428571,1.0012103290034087,0.5357142857142857,,,True
branch,support_departure,observation_only,281,0.504626334519573,0.988639667747325,0.5231316725978647,,,True
branch,support_departure,causal_full_memory,281,0.4149466192170818,0.7658408714607849,0.5907473309608541,,,True
branch,wall_guard,observation_only,12,0.5333333333333333,1.0546097612655665,0.5,,,True
branch,wall_guard,causal_full_memory,12,0.3833333333333333,0.9118721126518993,0.75,,,True
