query_source,query_step,query_action,query_phase,query_reason,query_target_kind,neighbor_source,neighbor_step,neighbor_action,neighbor_phase,neighbor_reason,neighbor_target_kind,observation_distance,causal_memory_distance,post_decision_leakage_distance,observation_knn_disagreement,causal_knn_disagreement
teacher_real_micro_20260803_034023_674665/episode_01,0,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_07,0,LEFT,support_departure,depart_support_platform,normal,0.7578006049096253,0.37890030245481265,0.5492236165202518,0.2,0.2
teacher_real_micro_20260803_034023_674665/episode_01,1,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_05,3,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,1.0551543097081837,0.7548048833629051,1.2099082643281571,0.4,0.0
teacher_real_micro_20260803_034023_674665/episode_01,2,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_05,4,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,1.0886374743402039,1.2138006239726487,1.2209851092662112,0.4,0.4
teacher_real_micro_20260803_034023_674665/episode_01,3,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_09,100,RIGHT,support_departure,depart_support_platform,normal,0.8186737624024192,0.46499526464335916,1.1865533693012655,0.4,0.4
teacher_real_micro_20260803_034023_674665/episode_01,5,LEFT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,6,RELEASE_ALL,aligned,aligned_with_visible_safe_platform,normal,0.6921720502761214,0.46246185239400195,0.9364798728390091,1.0,1.0
teacher_real_micro_20260803_034023_674665/episode_01,6,LEFT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,7,RIGHT,support_departure,depart_support_platform,normal,0.5990865398048641,0.8793917767652584,0.654383836624181,0.6,0.0
teacher_real_micro_20260803_034023_674665/episode_01,7,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,8,RIGHT,support_departure,depart_support_platform,normal,0.6062506108112653,0.6516722141809999,0.9260752458396713,0.6,0.4
teacher_real_micro_20260803_034023_674665/episode_01,8,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_04,18,LEFT,support_departure,depart_support_platform,normal,0.6565611463608857,0.9709891397030894,0.981074918842233,0.6,0.0
teacher_real_micro_20260803_034023_674665/episode_01,9,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_04,15,LEFT,support_departure,depart_support_platform,normal,0.49407661733299335,0.24754820771166286,0.40120409120886646,0.6,1.0
teacher_real_micro_20260803_034023_674665/episode_01,10,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_04,16,LEFT,support_departure,depart_support_platform,normal,0.5131861873567872,0.4089130056093393,0.40958905728461426,0.6,0.2
teacher_real_micro_20260803_034023_674665/episode_01,11,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,9,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,0.42592017768101903,0.21655355932343837,0.9184249150443271,0.6,0.2
teacher_real_micro_20260803_034023_674665/episode_01,12,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,7,RIGHT,support_departure,depart_support_platform,normal,0.6156374929487585,1.0270160553273768,0.8185714193206879,0.4,0.2
teacher_real_micro_20260803_034023_674665/episode_01,13,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,8,RIGHT,support_departure,depart_support_platform,normal,0.6024624280741021,0.8032873532438833,1.004353880523443,0.2,0.2
teacher_real_micro_20260803_034023_674665/episode_01,14,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_08,38,LEFT,support_departure,depart_support_platform,spring,0.6711304998700027,0.6055159250843988,1.2186887625607983,0.2,0.4
teacher_real_micro_20260803_034023_674665/episode_01,17,LEFT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_04,13,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,0.3108619160367769,0.1601244704858873,0.7836400401975575,0.2,0.2
teacher_real_micro_20260803_034023_674665/episode_01,18,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,16,LEFT,support_departure,depart_support_platform,normal,0.08866827090740044,0.06310818532369572,0.7082461857958495,0.6,0.8
teacher_real_micro_20260803_034023_674665/episode_01,19,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_04,15,LEFT,support_departure,depart_support_platform,normal,0.2972417564689216,0.1757413835951015,0.6154894555278176,0.8,0.2
teacher_real_micro_20260803_034023_674665/episode_01,20,LEFT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,18,RIGHT,move,move_toward_safe_platform,normal,0.2889366981533416,0.679548786415074,0.6311319549596762,0.4,0.8
teacher_real_micro_20260803_034023_674665/episode_01,21,LEFT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,19,RIGHT,move,move_toward_safe_platform,normal,0.47005875912768214,0.7172996642788652,0.8788484343277476,0.2,0.0
teacher_real_micro_20260803_034023_674665/episode_01,22,LEFT,move,move_toward_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_10,17,RELEASE_ALL,brake,direction_change_brake,normal,0.42798572155993403,0.23776794488058467,0.7548138004194231,0.2,0.2
teacher_real_micro_20260803_034023_674665/episode_01,23,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_04,18,LEFT,support_departure,depart_support_platform,normal,0.44722172867874754,0.7531384089425348,0.8244242283172742,0.6,0.6
teacher_real_micro_20260803_034023_674665/episode_01,24,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_09,80,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,0.4671438114346697,0.2595272345322845,0.7121136384416187,1.0,0.6
teacher_real_micro_20260803_034023_674665/episode_01,26,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_06,35,RIGHT,support_departure,depart_support_platform,normal,0.529655785433088,0.2866146040649353,0.9511923520520957,0.8,0.4
teacher_real_micro_20260803_034023_674665/episode_01,27,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_09,83,RIGHT,support_departure,depart_support_platform,normal,0.580236404222309,0.9056866193942394,0.9194186981285171,0.6,0.4
teacher_real_micro_20260803_034023_674665/episode_01,28,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_09,85,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,0.52869229639723,0.29955828064334644,0.7810598245368768,0.4,0.4
teacher_real_micro_20260803_034023_674665/episode_01,29,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_06,40,LEFT,support_departure,depart_support_platform,normal,0.7642906710092803,0.5595684456493378,0.5491518862853448,0.4,0.0
teacher_real_micro_20260803_034023_674665/episode_01,30,RIGHT,support_departure,depart_support_platform,normal,teacher_real_micro_20260803_034023_674665/episode_06,48,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,0.6239597122838922,0.37516645044644065,0.9981925067323891,0.4,0.4
teacher_real_micro_20260803_034023_674665/episode_01,31,RELEASE_ALL,aligned,aligned_with_safe_platform,normal,teacher_real_micro_20260803_034023_674665/episode_02,9,RIGHT,move,move_toward_safe_platform,normal,0.7496105561051641,1.3454120847766735,0.5914590601667382,0.6,0.2
